rxn	rxn_name	gene	equation	pathway
NDPK9	Nucleoside diphosphate kinase  ATPIDP	Nme6	NDPK9: atp_c + idp_c <=> adp_c + itp_c	Nucleotides
NDPK9	Nucleoside diphosphate kinase  ATPIDP	Nme7	NDPK9: atp_c + idp_c <=> adp_c + itp_c	Nucleotides
NDPK9m	ATP:IDP phosphotransferase, mitochondria	Nme4	NDPK9m: atp_m + idp_m <=> adp_m + itp_m	Nucleotides
NDPK9n	Nucleoside-diphosphate kinase (ATP:IDP), nuclear	Nme1	NDPK9n: atp_n + idp_n <=> adp_n + itp_n	Nucleotides
NDPK9n	Nucleoside-diphosphate kinase (ATP:IDP), nuclear	Nme2	NDPK9n: atp_n + idp_n <=> adp_n + itp_n	Nucleotides
NH4t3r	Ammonia transport via proton antiport	Rhag	NH4t3r: h_e + nh4_c <=> h_c + nh4_e	Transport, Extracellular
NH4t3r	Ammonia transport via proton antiport	Rhbg	NH4t3r: h_e + nh4_c <=> h_c + nh4_e	Transport, Extracellular
NKCCt	Na+-K+-Cl- cotransport	Slc12a1	NKCCt: 2.0 cl_e + k_e + na1_e <=> 2.0 cl_c + k_c + na1_c	Transport, Extracellular
NKCCt	Na+-K+-Cl- cotransport	Slc12a2	NKCCt: 2.0 cl_e + k_e + na1_e <=> 2.0 cl_c + k_c + na1_c	Transport, Extracellular
NMNATm	Nicotinamide nucleotide adenylyltransferase  mitochondrial	Nmnat3	NMNATm: atp_m + h_m + nmn_m --> nad_m + ppi_m	NAD Metabolism
NMNATn	Nicotinamide-nucleotide adenylyltransferase	Nmnat1	NMNATn: atp_n + h_n + nmn_n --> nad_n + ppi_n	NAD Metabolism
NMNAT	Nicotinamide-nucleotide adenylyltransferase	Nmnat2	NMNAT: atp_c + h_c + nmn_c <=> nad_c + ppi_c	NAD Metabolism
NMNAT	Nicotinamide-nucleotide adenylyltransferase	Nmnat3	NMNAT: atp_c + h_c + nmn_c <=> nad_c + ppi_c	NAD Metabolism
NMPTRCOX	N-Methylputrescine:oxygen oxidoreductase (deaminating)	Aoc1	NMPTRCOX: nmptrc_c + o2_c --> 1mpyr_c + h2o2_c + nh4_c	Alkaloid biosynthesis II
NMPTRCOX	N-Methylputrescine:oxygen oxidoreductase (deaminating)	Aoc2	NMPTRCOX: nmptrc_c + o2_c --> 1mpyr_c + h2o2_c + nh4_c	Alkaloid biosynthesis II
NMPTRCOX	N-Methylputrescine:oxygen oxidoreductase (deaminating)	Aoc3	NMPTRCOX: nmptrc_c + o2_c --> 1mpyr_c + h2o2_c + nh4_c	Alkaloid biosynthesis II
NNATr_copy1	Nicotinate-nucleotide adenylyltransferase	Enpp1	NNATr_copy1: atp_c + h_c + nicrnt_c --> dnad_c + ppi_c	NAD Metabolism
NNATr_copy1	Nicotinate-nucleotide adenylyltransferase	Enpp2	NNATr_copy1: atp_c + h_c + nicrnt_c --> dnad_c + ppi_c	NAD Metabolism
NNATr_copy1	Nicotinate-nucleotide adenylyltransferase	Enpp3	NNATr_copy1: atp_c + h_c + nicrnt_c --> dnad_c + ppi_c	NAD Metabolism
NNATm	Nicotinate nucleotide adenylyltransferase  mitochondrial	Nmnat3	NNATm: atp_m + h_m + nicrnt_m --> dnad_m + ppi_m	NAD Metabolism
NNATn	ATP:nicotinamide-nucleotide adenylyltransferase, nucleus	Nmnat1	NNATn: atp_n + h_n + nicrnt_n --> dnad_n + ppi_n	NAD Metabolism
NNATr_copy2	Nicotinate-nucleotide adenylyltransferase	Nmnat2	NNATr_copy2: atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c	NAD Metabolism
NNATr_copy2	Nicotinate-nucleotide adenylyltransferase	Nmnat3	NNATr_copy2: atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c	NAD Metabolism
