gene	ActivatedMyeloidCells___aCTLA4	ActivatedMyeloidCells___aPD1	ActivatedMyeloidCells___aPD1aCTLA4	ActivatedMyeloidCells___Control	HighlyProliferativeTCells___aCTLA4	HighlyProliferativeTCells___aPD1	HighlyProliferativeTCells___aPD1aCTLA4	HighlyProliferativeTCells___Control	OtherMyeloidCells___aCTLA4	OtherMyeloidCells___aPD1	OtherMyeloidCells___aPD1aCTLA4	OtherMyeloidCells___Control
Gm17087	0.0025276397405630574	0	0.001897965381111449	0	0	0	0	0	0.002936928889370552	0.004376279197722271	0.001730590048138093	0.002615028548304001
1700010I14Rik	0	0.0038028273747337613	7.563838799467506e-4	0	0.020015589081453004	0	0.03390842013888889	0	0.003525006388775705	0.0021331367434510575	0	0.00634288573605992
Qk	0.49206700713228013	0.6039257663348788	0.4953089825418757	0.5539631894833966	0.16631954249803393	0.20402536673364566	0.2342257664485172	0.24439112682488018	0.49509764041618864	0.47514567092982457	0.41585924274309605	0.6095732721784337
Pacrg	0	0	0	0	0	0	0	0	0	0.002403764102283047	0	8.922492980228649e-4
Park2	0.004176726205189135	0	0.006468700846907477	0.012381141045958798	0	0	0.009332676312920903	0	0.0017902666781243737	0.001298465888522029	0.016419609629151635	0.005788070979406735
Agpat4	0.48699401264658787	0.44981178343748063	0.5440551085729974	0.6632932645898828	0.5002878925226617	0.4950930362888111	0.3657372939710256	0.5177279255388306	0.6005156709176803	0.6076166563483416	0.4481282310185081	0.75177027566429
Map3k4	0.06909348804363696	0.14739718589111608	0.058320133346266886	0.01847638766043566	0.06634481335355033	0.0986811549038358	0.06641343408908952	0.04550368422911649	0.033750560336941585	0.03298406026265821	0.0715359760141602	0.05206778507289642
4732491K20Rik	0	0.00818564248092137	0	0	0.007501886724511214	0	0.006421716704683229	0	0	5.788106228882096e-4	0.012682581024794335	0.006149038402667947
Slc22a2	0	0	0	0	0	0	0	0	0	0	0	0
Igf2r	0.05853869688049099	0.02088941894669694	0.04834010161668274	0.06396027190358287	0.08207454324475572	0.0416585549956765	0.0408566317883787	0.05894448219994403	0.011754135120090835	0.005066905578537325	0.017898425746756395	0.02889530300138061
Airn	0	0	0	0	0	0	0	0.009728468709839665	0	0	0	0
Mrpl18	1.3073869128278777	0.9812054437931941	1.4128134188043422	1.0902925836126038	3.0100367692121623	2.5392946595501376	3.2600441532109863	2.847694781992782	1.310707204766971	1.4685851669444054	1.1369850563230315	1.324116958098124
Tcp1	0.752522523672368	0.7603707039331826	1.0510323212218196	0.8490795546596616	1.7759546264065615	1.4678297938438227	1.787963734099881	1.6513192183595455	0.7287147746824175	0.8391573674847714	1.0913940815157452	0.9334827074867751
Acat3	0	0.0020302095176222192	0.001880830574781824	0	0	0	0	0	0	0.003480958164454831	0.007612190432097529	0.0014266169633316643
Acat2	0.0322952833803289	0.04469495138567648	0.04681045675046386	0.05772686498110121	0.19018453779784292	0.14540998845359088	0.263774820098948	0.12559326816752242	0.038214926635569336	0.04451479224627764	0.030894758198207348	0.09033510775639605
Wtap	0.5739110869739565	0.941248192107588	0.4207379936272912	0.48272229674400713	0.5837188028629857	0.483799611693171	0.6498584547221316	0.6079069028466311	0.5545770263140888	0.49918527635717247	0.40337140466650645	0.49481056813251545
